ETER ID,Institution Name,Reference year,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,Flag Academic Staff FTE,Total academic staff (HC),Flag Academic Staff HC,Country code
AL0001,Universiteti i Tiranës,2016,public,uni,,,27284.0,0,,0,AL
AL0002,Universiteti Politeknik i Tiranës,2016,public,uni,,,14117.0,0,,0,AL
AL0003,Universiteti Bujqësor i Tiranës,2016,public,uni,,,10465.0,0,,0,AL
AL0004,"Universiteti i Elbasanit ""Aleksandër Xhuvani""",2016,public,uni,,,12992.0,0,,0,AL
AL0005,"Universiteti i Shkodrës ""Luigj Gurakuqi""",2016,public,uni,,,7915.0,0,,0,AL
AL0006,"Universiteti ""Eqrem Çabej"", Gjirokastër",2016,public,uni,,,1616.0,0,,0,AL
AL0007,"Universiteti ""Fan S. Noli"", Korçë",2016,public,uni,,,4465.0,0,,0,AL
AL0008,"Universiteti ""Ismail Qemali"", Vlorë",2016,public,uni,,,8787.0,0,,0,AL
AL0009,"Universiteti ""Aleksandër Moisiu"", Durrës",2016,public,uni,,,15981.0,0,,0,AL
AL0010,Universiteti i Arteve,2016,public,uni,,,990.0,0,6639.0,0,AL
AL0011,Universiteti i Sporteve të Tiranës,2016,public,uni,,,1349.0,0,3000.0,0,AL
AL0012,"Universiteti i Mjekësisë, Tiranë",2016,public,uni,,,7427.0,0,3206.0,0,AL
AL0013,Universiteti i New York-ut në Tiranë,2016,private,uni,,,706.0,0,1926.0,0,AL
AL0014,"Universiteti Privat ""Albanian University""",2016,private,uni,,,6965.0,0,3708.0,0,AL
AL0015,"Universiteti Katolik ""Zoja e Këshillit të Mirë""",2016,private,uni,,,1980.0,0,2306.0,0,AL
AL0016,Universiteti Europian i Tiranës,2016,private,uni,,,4210.0,0,909.0,0,AL
AL0017,"Universiteti ""Aldent""",2016,private,uni,,,1245.0,0,1943.0,0,AL
AL0018,Universiteti Polis,2016,private,uni,,,673.0,0,730.0,0,AL
AL0019,"Universiteti ""EPOKA""",2016,private,uni,,,1555.0,0,1637.0,0,AL
AL0020,"Universiteti ""Mesdhetar i Shqipërisë""",2016,private,uni,,,1005.0,0,1991.0,0,AL
AL0021,EPITECH ALBANIA,2016,private,uni,,,,0,1029.0,0,AL
AL0022,"Shkolla e lartë universitare, jopublike, Universiteti ""Marin Barleti""",2016,private,other,,,1139.0,0,1466.0,0,AL
AL0023,"Shkolla e Larte ""Nehemia""",2016,private,other,,,0.0,0,3580.0,0,AL
AL0024,"Shkolla private e arsimit të lartë, ""Universiteti Metropolitan Tirana""",2016,private,other,,,729.0,0,1474.0,0,AL
AL0025,Akademia e Forcave të Armatosura,2016,public,other,,,0.0,0,1166.0,0,AL
AL0026,Akademia e Sigurisë,2016,public,other,,,,0,307.0,0,AL
AL0027,"Akademia e Filmit dhe Multimedias ""Marubi""",2016,private,other,,,15.0,0,529.0,0,AL
AL0028,"Kolegji Universitar ""Luarasi""",2016,private,other,,,595.0,0,942.0,0,AL
AL0029,"Kolegji Universitar ""Qiriazi""",2016,private,other,,,0.0,0,556.0,0,AL
AL0030,"Kolegji Universitar ""WISDOM""",2016,private,other,,,322.0,0,501.0,0,AL
AL0031,"Kolegji Profesional Privat, ""Ivoclar Vivadent & Partners""",2016,private,other,,,16.0,0,435.0,0,AL
